location	Alameda County
location	Contra Costa County
location	Fresno County
location	Humboldt County
location	Marin County
location	Monterey County
location	Orange County
location	San Bernardino County
location	San Francisco County
location	San Joaquin County
location	San Luis Obispo County
location	Santa Clara County
location	Tulare County
location	Tuolumne County
location	Ventura County
location	Chicago
location	Cook County IL
location	DuPage County
location	Kane County IL
location	Lake County IL
location	McHenry County
location	Will County IL

